"current_owner","count"
"0x2989b4C1990B0f91074aCCB39799D7758893dC89","3"
"0x15e61C2F2d2BD7A812CAf4B267aF677D924FF305","3"
"0x2aaf273bE94f77AB4F8D711B88aa20412dBb0687","3"
"0x033a97735BCA801Ea54D8fbb78cED0C274679BE5","3"
"0x052627587c7fEDb75210E3f8f30Ea8e6d6bbaf23","3"
"0x287423b3080E8e23753e24EbE4918499322252E4","3"
"0xC0fC9bfD335CDe161598070812c3d59E26863518","3"
"0xd12c9F70ea85DD2e9a47aAE4Ed3F91D37F55562E","3"
"0xC1e13Da6Ca2AE9a709D6a13F33e44bCC97727209","3"
"0x2e15Ee8a2Ad2444bE7946322083680eBa8af904d","3"
"0x51970de41d642b2f901d7970187358eeA66a723A","3"
"0x1cf7e292c5F118697ba7BA12E8cA9A1Dd985a906","3"
"0xe1807c2767DDe91674d13d4211Ca67392566462c","3"
"0xB93E541bb854DF8b9DF1aafbed2156059bbcD84D","3"
"0x2Cc9722E6F32D85BA7dc98b208f357328B6F7cBE","3"
"0xB8ee2CdE5Ba1Cc8f3193748b12510691B259c7E9","3"
"0x0A7D51E1E7d41ba1FE15dF6bA8bc59B7221329aB","3"
"0xC8B7AEFc4A85BbEc9c2e7db9850c56edDd2800b2","3"
"0x6cf735Fd045F0F5534b261fF5Cfd59Adc9CF8599","3"
"0xDf0eFD6173c36FE561B0C1939CF55d6BB9B89da0","3"
"0x8F0b02cD15aD407957946f7C29b75C3D53B87BcF","3"
"0xE33224bfc818102d2550746f1d6Dd4074A3Fb444","3"
"0xc2d4D3341CEd5697f2BCEeFf6eF5dA60Bc171669","3"
"0xdc855F7E5db3770f17122Dca9dd2f22759012fB8","3"
"0xC3371Ef8911F8661533C54A0a7Ef76cd6d755D33","3"
"0xef53F813544D3937BDAa173dFfb543A8b625e983","3"
"0xeB4d2f4fceF8291e28adb64AddE95a9Df82ca3f9","3"
"0x1cc2377e6f5C0540122AFb01C7582e28bB7b48D4","3"
"0xf7B7ff9348795Bcf470A8F6Eab4B4248F6413898","3"
"0xBE28A398C3d0ABBe5990966D3358e1cB1aEA1f29","3"
"0x5681C7A265a8E7362dB91A1Ec5D08721074e7c60","3"
"0xB8B99bD4432f1eB9E25AAFb7cE95fe17f88d758F","3"
"0xaE886759415a2f11c12501701a7C6e57823869c7","3"
"0xfAf42A5A221fD29B4F2FD84AFeA75c17765542E0","3"
"0xE1aC7C7b3e422BC351AddD774b82c2608df4F1Ee","3"
"0x0c5C815aC0384ac94c0383B83F5b7542bfF6bE5E","3"
"0x97035e8847B58568ce6A18E7e0C0Ac68fafa6138","3"
"0xa5CdfE030e98fA950aB331714d0484ADdE232654","3"
"0xf4bF2DeE2F2790dd026848464EaB0708105d2eED","3"
"0x49e2e872CBc306bea664035FD5d405aaf2739fFd","3"
"0xBc12d832cC649130DE1096A1A6dACEBfD9f4C19D","3"
"0x9af445e6C19Fbbe092Be1640fBb18c99c69f0092","3"
"0x53281f7a2483Bb2925d942201C320940Cec4BD3f","3"
"0xa5d36155ce8e6C3aa3371c6FAc5Fe666a3151bFB","3"
"0x5F71eA450CcC09e9C8F3bae1bB1168d64Ee70004","3"
"0x09143c05Cf5902FA0648CAcC876A099f6B790d22","3"
"0x15bBA47C82F23C38d756Bc00F421B8C63824C5a1","3"
"0xBe63b61FFE8Ac67D75Cf65a293569A3eCc47Ec69","3"
"0x825f712271DDf7C882E08c927078E70aE6ADC376","3"
"0x86Bffa8B31B44517F2adBaD1DF98E12E27782800","3"
"0x7466F271c5df1e5cC3384eb28F925d585F4A1773","3"
"0x5EeBd0BB6eDFcc2A4D5Fe23e96D433222b6Cb1D2","3"
"0xF5646078b2C081F0Cc375bBD690Ba0280Db75655","3"
"0x4bd0Aa9685e247A0B61329FcC0592AFDfa353C9e","3"
"0x453616441AaE7e96C333edd2B0Eb134Ce8B28DF2","3"
"0x9D1AdbCA7cd5C9A9B7fe85BD20B5eF97ECD91010","3"
"0x96EAda5982a98fdcD8F3c0d4DDdD1715F58D0F22","3"
"0x0B134f1579082F8Ee05c6474512522426cE31871","3"
"0x0D8eD4031C1b4D540aD3B9eF934B92E7576e5650","3"
"0xb09E862A43b85fec17d37f0eB31586fFE9C7FbB7","3"
"0x1C75aFFaF648AdBf4fB66ddd5Fb7C2Bae4dEA85d","3"
"0xf55C69A6a8cE105FC60CAf399b8D52867a85fb48","3"
"0x38e346DD82DDD824d9dEF30e02d9f60ED414Baf7","3"
"0xc4B56C5805388F59C8C5741bfcdb166FA1F209e5","3"
"0xfEE5405817e3611c090DDa34E26BACb33c7E32EF","3"
"0x9E2660c6E40B483211f9Ab1cA730d6469b163e0f","3"
"0x6cA54Ea354584b4fc093DAd9d3Fe92e3cDF16DA4","3"
"0x5973c2Baab4527794A79e64CA93114394F055eCD","3"
"0x4e5C500eF009ec8bC4b06E27c8D0E5Acd1aBc610","3"
"0xb8459616e81496223793C98683931F108101C7A3","3"
"0xe3a020ECC484B9f1882C4279Cb82eBc3E5313eDD","3"
"0x2327a19BF559Aabb0beFeD0Bc0788a32cbE45E4d","3"
"0x171485ABE202e3F3ecAe85bDBfbF770B1AEf9949","3"
"0xa0C26861C60fa5F680D928CC77cB83f70Ec94CC1","3"
"0x54D94BAde166836dE0c9033F3ba956be427e8e64","3"
"0xB87517fe58750FE48b129C4A463bd9e831BC4a19","3"
"0xFA6b909Fb9d268eBe2032c72356B576Bca0236b0","3"
"0xcf431813277dcF8C7FfCDF51497630a5FD3B7738","3"
"0x6F011040C826bd95eEf31597DACDB7bb62649cFC","3"
"0x5dD3c8d5CCbaD622C5A70936962B3878AfAbeB30","3"
"0xb0D8659D2F24ED2421cDe118a9f3de3482B6081E","3"
"0x99c002Dc605d0735fC96b01E28796DFB688c5A52","2"
"0x9Fe9FA7859C6Bcbb4eb0ADB958bFA03f4312437B","2"
"0x8507D38fd589001A95a3540fc2f1ea975236f497","2"
"0x42400f44d9b15a7CB8DF4C145436a38EB26A10a3","2"
"0x6cCEE92AA207C7CA81fe8B63D30A2FCDb7f0089E","2"
"0x0612A05910d53De1Cdb3a0dfC8FA062d04819e94","2"
"0x42CA29076b3deeB67740150694e646036AeBf600","2"
"0x935E21186a62fa0940b688606f5298E383ea226C","2"
"0xA93bcD0f01d71dD56fBd482d2e6FF75d50732503","2"
"0x0E1845F09B1a51f37d12994B0D7241C2cd90Be0D","2"
"0xb48466047d45ccaA4a0c7FC1F039b0CF90FB1EBE","2"
"0xC9B2C41Bc0D78bc97d2dE1127Ee7EFaec3516338","2"
"0xDc81aF3250c05CBC59E7433d024A5a8d678474a8","2"
"0xEDE048Eb42D62E3B6f73C8983b312b3e776Bbbfc","2"
"0xfcd625e08Ed35eBA028649245A6c8Cc064Db34C1","2"
"0x12C42863d7D2B0e339afDB0B97613116b8FE7318","2"
"0xBDF1873C5E25305b3dBc830c1F8c0F6920eAC8e0","2"
"0x7974Fd3958b0EBFc88429932055A2BD62ABF6a7B","2"
"0x634D56791eaF3B460c451E5D1E8728615097C33A","2"
"0xF29cF50618CC11C4b7387FE871FAEd0957700104","2"
"0xbB1E0ba6cf05ef6b1a004F37a9B458f33A198eC6","2"
"0x3cf6B7fFb7eC44e0910c326738fC5115713885eD","2"
"0x32611CCDEE4BA44E17A304A30DC31F2EfD32c821","2"
"0x000f6d8441669D18dC16d74A7eE44F4F42547287","2"
"0x0F55AEad198C43a36a358B13501806841c845519","2"
"0x299ecF45a93257CCa31C7085Ace89208796d2D27","2"
"0x97d09c7B0F5a7247917D569Dd588A128333060CC","2"
"0x1B83d84C729C5Ee8cA654c912C468a4014807494","2"
"0x6DF8007441004dD504d1c6C719F4cE9B8A37F30e","2"
"0xAA4432e65747b0B0b6BDd8D0E907BF1C348175d6","2"
"0x9a395De5675cc78FC3551232C72F60ab0757Cb0e","2"
"0x7fdF1f210EB46E5C6fE819da076324B99EAeF07f","2"
"0x27f4Cea185Af16f6Cf784359e203e0125BEA4FfB","1"
"0xE7888Ef06ffdB8b50Bf3316063F55fd23a47E9BA","1"
"0xe512E01B44019D23Cc97B07C949C641BdF21C1EF","1"
"0x6F77BD0C7C93b3379c4be68E4dBa8839fAe34E92","1"
"0x0abfe2203f2a5Fe8CF3245C274E7130611c3df4E","1"
"0xA2AfB0D06A74C34690656fE208FEf4C2CD427F0E","1"
"0x9e4AdB18870f5789F610BD66d520ad2cD175083b","1"
"0xC2E38921757399a5e9fdE714AB8Fdddeb33C3638","1"
"0x41B511f1496322EaDC13374f3a70b197040FaEcc","1"
"0x37124AF8750735f5eE82ba14b7a229F84D8E6CDe","1"
"0x55a646D2dDa487345664d5e287203f1B2521291c","1"
"0x6F6C71982640086C47c088c3a59Df86A0190fa79","1"
"0xc63FbCE647e5Dd795Ad16138b5f3C7B1E36536eF","1"
"0xfF59185585C41ABC4699855881bA86614aB95Bc0","1"
"0xcA807CE609A0961CB558F32e942E9A86448DB3eC","1"
"0x5D267CB2bF5B71E063823Cc08f05A438825D702C","1"
"0xb631bBEfc3E8C052084E0944525f71299cf08F3d","1"
"0xA17D58f0c80985954cd9eD5fDe216a542d08A5D4","1"
"0x4C42040daeFB32E4c68B003d4a4362407CD5Dc74","1"
"0x9edb40ad1daE5fa7DDcF58e6ae620E7C1fB74c73","1"
"0x63B9e3a1f1D24D952abf63f880F508df83B9C777","1"
"0xDCcE758Cc737eA9b2637ad08d94bB81D8C85b96b","1"
"0x8D804F454D46919e8BAF604390a6aC59DD419f9C","1"
"0x1f56122906185CBeaA5247eeAA1dc986D10AEf03","1"
"0xf51EB9E5f56edb1C12404A898C63a10d37Fc63f9","1"
"0x3fd0505ed64DE71609Bd52E1C08B64269beDcf69","1"
"0x6Fbf53E37D5aC4E54f9128AAC0B5cE48DeD55cc0","1"
"0xB5416d613057ec7A72f363A81849ADDb59Ea62CB","1"
"0x3d494371A362292AD133b7f894d787c73b05a685","1"
"0xA024625Dc05182e90b33b1Df899C0EB3D1c5678c","1"
"0xB13103D0c859046300799a0664d2F4696F19F394","1"
"0xAfE8692Eb600410fe9CbEC0F023cccB67a72736E","1"
"0xA7D9a36799c31e971cF04753321ff087Bb9A2f1e","1"
"0x1B037010a3fF2756b94d6172306567AAD68ca76d","1"
"0xe00DDBbCe59b3317BaA5e13FeC8ff524611a8e35","1"
"0x1d81Bf425288c0CaEDC10091f92Dc59e94f2Ebf2","1"
"0xCac9BAB6d577D3904E50161B9B08486f796830DC","1"
"0x98fe44eA7d2D8185Ee8422f27E199BBEB545C72B","1"
"0x8CFcDdEC0872599C2A2008DdDc85A556059eae6e","1"
"0xD9cFe7d9839Ca6B7a6487AbD4eFe507b1B2c1ca8","1"
"0xf8B53253a135e14aeD6A948D25de06C0e816DF39","1"
"0xc6777896D1dc93EF8E58786E8b999F693D4a962d","1"
"0x1a70EAf5C0A439F0b58477862661924Ad7A0aceD","1"
"0x464dd0b4E78c8246f8247e90DF5f35Bd890ae588","1"
"0x4Db05Dd413859F108b4a112ACB52C5DC8F39af94","1"
"0x51148cC9b300877c238dc5233A141925b716d6a9","1"
"0x9CA8bE9Fc584a2999388acc2893e2367D66AE76C","1"
"0x4d6fd0A5272c9acF5B30fc078f2BA37f92C26cd1","1"
